Country,Color1,Color2,Color3,Color4,Color5,Color6
Iran,"(np.uint8(35), np.uint8(159), np.uint8(64))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(218), np.uint8(0), np.uint8(0))",,,
Iceland,"(np.uint8(0), np.uint8(56), np.uint8(151))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(215), np.uint8(40), np.uint8(40))",,,
Italy,"(np.uint8(0), np.uint8(146), np.uint8(70))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(206), np.uint8(43), np.uint8(55))",,,
Jamaica,"(np.uint8(255), np.uint8(204), np.uint8(0))","(np.uint8(0), np.uint8(153), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(1))",,,
Jordan,"(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(153), np.uint8(0))",,
Japan,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(188), np.uint8(0), np.uint8(45))",,,,
Kenya,"(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(187), np.uint8(0), np.uint8(0))","(np.uint8(0), np.uint8(102), np.uint8(0))",,
Kyrgyzstan,"(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(0))",,,,
Cambodia,"(np.uint8(3), np.uint8(46), np.uint8(161))","(np.uint8(224), np.uint8(0), np.uint8(37))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,
Kiribati,"(np.uint8(231), np.uint8(62), np.uint8(45))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(89), np.uint8(137))",,,
Comoros,"(np.uint8(255), np.uint8(255), np.uint8(0))","(np.uint8(35), np.uint8(158), np.uint8(70))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(190), np.uint8(0), np.uint8(39))","(np.uint8(59), np.uint8(90), np.uint8(163))",
Saint Kitts and Nevis,"(np.uint8(53), np.uint8(161), np.uint8(0))","(np.uint8(255), np.uint8(233), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(199), np.uint8(0), np.uint8(0))",,
North Korea,"(np.uint8(62), np.uint8(86), np.uint8(152))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(198), np.uint8(0), np.uint8(0))",,,
South Korea,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(205), np.uint8(46), np.uint8(58))","(np.uint8(0), np.uint8(71), np.uint8(160))",,
Kuwait,"(np.uint8(0), np.uint8(217), np.uint8(65))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(243), np.uint8(24), np.uint8(48))",,
Kazakhstan,"(np.uint8(0), np.uint8(171), np.uint8(194))","(np.uint8(255), np.uint8(236), np.uint8(45))",,,,
Laos,"(np.uint8(206), np.uint8(17), np.uint8(38))","(np.uint8(0), np.uint8(40), np.uint8(104))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,
Lebanon,"(np.uint8(238), np.uint8(22), np.uint8(31))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(168), np.uint8(80))",,,
Saint Lucia,"(np.uint8(101), np.uint8(207), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(206), np.uint8(0))",,,
Liechtenstein,"(np.uint8(0), np.uint8(43), np.uint8(127))","(np.uint8(206), np.uint8(17), np.uint8(38))",,,,
Sri Lanka,"(np.uint8(255), np.uint8(183), np.uint8(0))","(np.uint8(0), np.uint8(86), np.uint8(65))","(np.uint8(255), np.uint8(91), np.uint8(0))","(np.uint8(141), np.uint8(32), np.uint8(41))",,
Liberia,"(np.uint8(0), np.uint8(0), np.uint8(102))","(np.uint8(204), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,
Lesotho,"(np.uint8(0), np.uint8(32), np.uint8(159))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(149), np.uint8(67))",,,
Lithuania,"(np.uint8(253), np.uint8(185), np.uint8(19))","(np.uint8(0), np.uint8(106), np.uint8(68))","(np.uint8(193), np.uint8(39), np.uint8(45))",,,
Luxembourg,"(np.uint8(237), np.uint8(41), np.uint8(57))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(161), np.uint8(222))",,,
Latvia,"(np.uint8(152), np.uint8(30), np.uint8(50))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
